" ","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS"
"TID_CONFIRM_CHANGE_LANGUAGE","Are you sure you want to change the language settings?","Voulez-vous vraiment modifier les paramètres de langue ?","Willst du die Spracheinstellungen wirklich ändern?","¿Seguro que quieres cambiar el idioma?","Vuoi davvero modificare le impostazioni della lingua?","Weet je zeker dat je de taalinstellingen wilt veranderen?","Er du sikker på at du vil endre språkinnstillingene?","Dil ayarlarını değiştirmek istediğine emin misin?","言語設定を変更してもよろしいですか？","정말로 언어 설정을 변경할까요?","Точно хочешь изменить языковые настройки?","هل تريد بالتأكيد تغيير إعدادات اللغة؟","Tem certeza de que quer alterar as configurações de idioma?","您确定要更改语言设置吗？","是否要變更語言設定？","آیا مطمئنی می​خوای تنظیمات زبان رو تغییر بدی؟","Yakin ingin mengubah setelan bahasa?","Anda pasti ingin menukar tetapan bahasa?"
"TID_EUROPE","Europe","Europe","Europa","Europa","Europa","Europa","Europa","Avrupa","ヨーロッパ","유럽","Европа","أوروبا","Europa","欧洲","歐洲","اروپا","Eropa","Eropah"
"TID_NORTH_AMERICA","North America","Amérique du Nord","Nordamerika","América del Norte","America del Nord","Noord-Amerika","Nord-Amerika","Kuzey Amerika","北アメリカ","북아메리카","Северная Америка","أمريكا الشمالية","América do Norte","北美洲","北美","آمریکای شمالی","Amerika Utara","Amerika Utara"
"TID_SOUTH_AMERICA","South America","Amérique du Sud","Südamerika","América del Sur","Sud America","Zuid-Amerika","Sør-Amerika","Güney Amerika","南アメリカ","남아메리카","Южная Америка","أمريكا الجنوبية","América do Sul","南美洲","南美","آمریکای جنوبی","Amerika Selatan","Amerika Selatan"
"TID_ASIA","Asia","Asie","Asien","Asia","Asia","Azië","Asia","Asya","アジア","아시아","Азия","آسيا","Ásia","亚洲","亞洲","آسیا","Asia","Asia"
"TID_AUSTRALIA","Australia","Australie","Australien","Australia","Australia","Australië","Australia","Avustralya","オーストラリア","호주","Австралия","أستراليا","Austrália","澳大利亚","澳大利亞","استرالیا","Australia","Australia"
"TID_AFRICA","Africa","Afrique","Afrika","África","Africa","Afrika","Afrika","Afrika","アフリカ","아프리카","Африка","أفريقيا","África","非洲","非洲","آفریقا","Afrika","Afrika"
"TID_INTERNATIONAL","International","International","International","Internacional","Internazionale","Internationaal","Internasjonalt","Uluslararası","インターナショナル","전 세계","Международное","دولي","Internacional","全球","全球","بین‌المللی","Internasional","Antarabangsa"
"TID_AFGHANISTAN","Afghanistan","Afghanistan","Afghanistan","Afganistán","Afghanistan","Afghanistan","Afghanistan","Afganistan","アフガニスタン","아프가니스탄","Афганистан","أفغانستان","Afeganistão","阿富汗","阿富汗","افغانستان","Afghanistan","Afghanistan"
"TID_ALAND_ISLANDS","Åland Islands","Îles Åland","Åland","Islas Åland","Isole Åland","Ålandseilanden","Åland","Åland Adaları","オーランド諸島","올란드 제도","Аландские острова","جزر آلاند","Ilhas Åland","奥兰群岛","奧蘭","جزایر آلند","Kepulauan Åland","Kepulauan Åland"
"TID_ALBANIA","Albania","Albanie","Albanien","Albania","Albania","Albanië","Albania","Arnavutluk","アルバニア","알바니아","Албания","ألبانيا","Albânia","阿尔巴尼亚","阿爾巴尼亞","آلبانی","Albania","Albania"
"TID_ALGERIA","Algeria","Algérie","Algerien","Argelia","Algeria","Algerije","Algerie","Cezayir","アルジェリア","알제리","Алжир","الجزائر","Argélia","阿尔及利亚","阿爾及利亞","الجزیره","Algeria","Algeria"
"TID_AMERICAN_SAMOA","American Samoa","Samoa américaines","Amerikanisch-Samoa","Samoa Americana","Samoa Americane","Amerikaans-Samoa","Amerikansk Samoa","Amerikan Samoası","アメリカ領サモア","미국령 사모아","Американское Самоа","ساموا الأمريكية","Samoa Americana","美属萨摩亚","美屬薩摩亞","ساموآی آمریکایی","Samoa Amerika","Samoa Amerika"
"TID_ANDORRA","Andorra","Andorre","Andorra","Andorra","Andorra","Andorra","Andorra","Andora","アンドラ","안도라","Андорра","أندورا","Andorra","安道尔","安道爾","آندورا","Andorra","Andorra"
"TID_ANGOLA","Angola","Angola","Angola","Angola","Angola","Angola","Angola","Angola","アンゴラ","앙골라","Ангола","أنغولا","Angola","安哥拉","安哥拉","آنگولا","Angola","Angola"
"TID_ANGUILLA","Anguilla","Anguilla","Anguilla","Anguila","Anguilla","Anguilla","Anguilla","Anguilla","アンギラ","앙귈라","Ангилья","أنغيلا","Anguila","安圭拉岛","安圭拉","آنگویلا","Anguilla","Anguilla"
"TID_ANTARCTICA","Antarctica","Antarctique","Antarktis","Antártida","Antartide","Antarctica","Antarktis","Antarktika","南極","남극","Антарктика","القارة القطبية الجنوبية","Antártica","南极洲","南極洲","آنتاریکا","Antartika","Antartika"
"TID_ANTIGUA_AND_BARBUDA","Antigua and Barbuda","Antigua-et-Barbuda","Antigua und Barbuda","Antigua y Barbuda","Antigua e Barbuda","Antigua en Barbuda","Antigua og Barbuda","Antigua ve Barbuda","アンティグア・バーブーダ","앤티가 바부다","Антигуа и Барбуда","أنتيغوا وبربودا","Antígua e Barbuda","安提瓜和巴布达","安地卡及巴布達","آنتیگوا و باربودا","Antigua dan Barbuda","Antigua dan Barbuda"
"TID_ARGENTINA","Argentina","Argentine","Argentinien","Argentina","Argentina","Argentinië","Argentina","Arjantin","アルゼンチン","아르헨티나","Аргентина","الأرجنتين","Argentina","阿根廷","阿根廷","آرژانتین","Argentina","Argentina"
"TID_ARMENIA","Armenia","Arménie","Armenien","Armenia","Armenia","Armenië","Armenia","Ermenistan","アルメニア","아르메니아","Армения","أرمينيا","Armênia","亚美尼亚","亞美尼亞","ارمنستان","Armenia","Armenia"
"TID_ARUBA","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba","Aruba","アルバ","아루바","Аруба","آروبا","Aruba","阿鲁巴岛","阿魯巴","آروبا","Aruba","Aruba"
"TID_ASCENSION_ISLAND","Ascension Island","Île de l'Ascension","Ascension","Isla Ascensión","Isola Ascensione","Ascension","Ascension","Ascension Adası","アセンション諸島","어센션 섬","Остров Вознесения","جزيرة أسنسيون","Ilha de Ascensão","阿森松岛","阿森松島","جزیره اسنشن","Pulau Ascension","Pulau Ascension"
"TID_AUSTRIA","Austria","Autriche","Österreich","Austria","Austria","Oostenrijk","Østerrike","Avusturya","オーストリア","오스트리아","Австрия","النمسا","Áustria","奥地利","奧地利","اتریش","Austria","Austria"
"TID_AZERBAIJAN","Azerbaijan","Azerbaïdjan","Aserbaidschan","Azerbaiyán","Azerbaigian","Azerbeidzjan","Aserbajdsjan","Azerbaycan","アゼルバイジャン","아제르바이잔","Азербайджан","أزربيجان","Azerbaijão","阿塞拜疆","亞塞拜然","آذربایجان","Azerbaijan","Azerbaijan"
"TID_BAHAMAS","Bahamas","Bahamas","Bahamas","Bahamas","Bahamas","Bahama's","Bahamas","Bahamalar","バハマ","바하마","Багамы","جزر البهاما","Bahamas","巴哈马群岛","巴哈馬","باهاماس","Bahama","Bahamas"
"TID_BAHRAIN","Bahrain","Bahreïn","Bahrain","Baréin","Bahrain","Bahrein","Bahrain","Bahreyn","バーレーン","바레인","Бахрейн","البحرين","Bahrein","巴林岛","巴林","بحرین","Bahrain","Bahrain"
"TID_BANGLADESH","Bangladesh","Bangladesh","Bangladesch","Bangladés","Bangladesh","Bangladesh","Bangladesh","Bangladeş","バングラデシュ","방글라데시","Бангладеш","بنغلاديش","Bangladesh","孟加拉国","孟加拉","بنگلادش","Bangladesh","Bangladesh"
"TID_BARBADOS","Barbados","Barbade","Barbados","Barbados","Barbados","Barbados","Barbados","Barbados","バルバドス","바베이도스","Барбадос","بربادوس","Barbados","巴巴多斯","巴貝多","بارباداس","Barbados","Barbados"
"TID_BELARUS","Belarus","Biélorussie","Weißrußland","Bielorrusia","Bielorussia","Belarus","Hviterussland","Beyaz Rusya","ベラルーシ","벨라루스","Белоруссия","روسيا البيضاء","Bielorrússia","白俄罗斯","白俄羅斯","بلاروس","Belarus","Belarus"
"TID_BELGIUM","Belgium","Belgique","Belgien","Bélgica","Belgio","België","Belgia","Belçika","ベルギー","벨기에","Бельгия","بلجيكا","Bélgica","比利时","比利時","بلژیک","Belgia","Belgium"
"TID_BELIZE","Belize","Belize","Belize","Belice","Belize","Belize","Belize","Belize","ベリーズ","벨리즈","Белиз","بليز","Belize","伯利兹","貝里斯","بلیز","Belize","Belize"
"TID_BENIN","Benin","Bénin","Benin","Benín","Benin","Benin","Benin","Benin","ベニン","베냉","Бенин","بنين","Benin","贝宁","貝南","بنین","Benin","Benin"
"TID_BERMUDA","Bermuda","Bermudes","Bermuda","Bermudas","Bermuda","Bermuda","Bermuda","Bermuda","バミューダ","버뮤다","Бермуды","برمودا","Bermudas","百慕大群岛","百慕達","برمودا","Bermuda","Bermuda"
"TID_BHUTAN","Bhutan","Bhoutan","Bhutan","Bután","Bhutan","Bhutan","Bhutan","Butan","ブータン","부탄","Бутан","بوتان","Butão","不丹","不丹","بوتان","Bhutan","Bhutan"
"TID_BOLIVIA","Bolivia","Bolivie","Bolivien","Bolivia","Bolivia","Bolivia","Bolivia","Bolivya","ボリビア","볼리비아","Боливия","بوليفيا","Bolívia","玻利维亚","玻利維亞","بولیوی","Bolivia","Bolivia"
"TID_BOSNIA_AND_HERZEGOVINA","Bosnia and Herzegovina","Bosnie-Herzégovine","Bosnien und Herzegovina","Bosnia-Herzegovina","Bosnia-Erzegovina","Bosnië en Herzegovina","Bosnia-Hercegovina","Bosna Hersek","ボスニア・ヘルツェゴビナ","보스니아 헤르체고비나","Босния и Герцеговина","البوسنة والهرسك","Bósnia-Herzegovina","波斯尼亚和黑塞哥维那","波士尼亞與赫塞哥維納","بوسنی و هرزگوین","Bosnia dan Herzegovina","Bosnia dan Herzegovina"
"TID_BOTSWANA","Botswana","Botswana","Botswana","Botsuana","Botswana","Botswana","Botswana","Botsvana","ボツワナ","보츠와나","Ботсвана","بوتسوانا","Botsuana","博茨瓦纳","波札那","بوتسوانا","Botswana","Botswana"
"TID_BOUVET_ISLAND","Bouvet Island","Île Bouvet","Bouvetinsel","Isla Bouvet","Isola Bouvet","Bouveteiland","Bouvetøya","Bouvet Adası","ブーベ島","부베 섬","Остров Буве","جزيرة بوفيت","Ilha Bouvet","布维岛","布威島","جزیره بووت","Pulau Bouvet","Pulau Bouvet"
"TID_BRAZIL","Brazil","Brésil","Brasilien","Brasil","Brasile","Brazilië","Brasil","Brezilya","ブラジル","브라질","Бразилия","البرازيل","Brasil","巴西","巴西","برزیل","Brasil","Brazil"
"TID_BRITISH_INDIAN_OCEAN_TERRITORY","British Indian Ocean Territory","Territoire britannique de l'océan Indien","Britisches Territorium im Indischen Ozean","Territorio Británico del Océano Índico","Territorio Brit. dell'Oceano Indiano","Brits Indische Oceaanterritorium","Det britiske territoriet i Indiahavet","İngiliz Hint Okyanusu Bölgesi","イギリス領インド洋地域","영국령 인도양 식민지","Брит. Тер. в Индийском Океане","إقليم المحيط الهندي البريطاني","Território Britânico do Oceano Índico","英属印度洋领地","英屬印度洋領地","قلمرو بریتانیا در اقیانوس هند","Wilayah Samudra Hindia Britania","Wilayah Lautan Hindi British"
"TID_BRITISH_VIRGIN_ISLANDS","British Virgin Islands","Îles Vierges britanniques","Britische Jungferninseln","Islas Vírgenes Británicas","Isole Vergini Britanniche","Britse Maagdeneilanden","De britiske jomfruøyene","İngiliz Virgin Adaları","イギリス領ヴァージン諸島","영국령 버진 아일랜드","Виргинские Острова","جزر فيرجن البريطانية","Ilhas Virgens Britânicas","英属维尔京群岛","英屬維京群島","جزایر ویرجین بریتانیا","Kepulauan Virgin Inggris","Kepulauan Virgin British"
"TID_BRUNEI","Brunei","Brunei","Brunei","Brunéi","Brunei","Brunei","Brunei","Brunei","ブルネイ","브루나이","Бруней","بروناي","Brunei","文莱","汶萊","برونی","Brunei","Brunei"
"TID_BULGARIA","Bulgaria","Bulgarie","Bulgarien","Bulgaria","Bulgaria","Bulgarije","Bulgaria","Bulgaristan","ブルガリア","불가리아","Болгария","بلغاريا","Bulgária","保加利亚","保加利亞","بلغارستان","Bulgaria","Bulgaria"
